framework,source_log,line_number,epoch_zero_based,epoch_one_based,configured_epochs,logged_sample_in_epoch,learning_rate,loss,eta
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,133,17,18,60,1,0.0001,0.133,0:49:06.774916
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,134,17,18,60,2,0.0001,0.1174,0:46:52.773050
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,135,17,18,60,3,0.0001,0.1296,0:46:53.541334
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,136,17,18,60,4,0.0001,0.1375,0:46:28.802068
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,137,17,18,60,5,0.0001,0.0932,0:46:10.763979
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,138,17,18,60,6,0.0001,0.0921,0:46:38.965155
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,139,18,19,60,0,0.0001,0.2358,0:37:48.556565
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,140,18,19,60,1,0.0001,0.0964,0:48:46.782068
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,141,18,19,60,2,0.0001,0.0654,0:43:31.744802
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,142,18,19,60,3,0.0001,0.1074,0:48:17.036419
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,143,18,19,60,4,0.0001,0.111,0:44:54.283573
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,144,18,19,60,5,0.0001,0.075,0:46:08.852432
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,145,18,19,60,6,0.0001,0.0726,0:43:42.210734
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,146,19,20,60,0,0.0001,0.1376,0:35:31.048877
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,147,19,20,60,1,0.0001,0.1463,0:44:43.612174
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,148,19,20,60,2,0.0001,0.1526,0:41:45.705448
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,149,19,20,60,3,0.0001,0.084,0:46:16.539727
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,150,19,20,60,4,0.0001,0.0952,0:41:38.643442
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,151,19,20,60,5,0.0001,0.0796,0:46:56.047005
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,152,19,20,60,6,0.0001,0.0357,0:47:28.888315
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,153,20,21,60,0,0.0001,0.1359,0:32:55.079899
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,154,20,21,60,1,0.0001,0.0528,0:43:55.500441
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,155,20,21,60,2,0.0001,0.0575,0:44:36.545606
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,156,20,21,60,3,0.0001,0.0533,0:45:00.029933
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,157,20,21,60,4,0.0001,0.0269,0:45:08.976974
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,158,20,21,60,5,0.0001,0.0578,0:45:47.725933
