timestamp,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_w
2026/08/01 16:22:14.714, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 270.17
2026/08/01 16:22:15.762, NVIDIA GeForce RTX 3090, 4289, 24576, 36, 253.43
2026/08/01 16:22:16.830, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 262.43
2026/08/01 16:22:17.879, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 265.50
2026/08/01 16:22:18.974, NVIDIA GeForce RTX 3090, 4289, 24576, 46, 254.76
2026/08/01 16:22:20.045, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 263.79
2026/08/01 16:22:21.122, NVIDIA GeForce RTX 3090, 4289, 24576, 42, 261.13
2026/08/01 16:22:22.218, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 259.74
2026/08/01 16:22:23.314, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 262.71
2026/08/01 16:22:24.391, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 260.12
2026/08/01 16:22:25.439, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 259.45
2026/08/01 16:22:26.487, NVIDIA GeForce RTX 3090, 4289, 24576, 63, 259.67
2026/08/01 16:22:27.562, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 263.24
2026/08/01 16:22:28.611, NVIDIA GeForce RTX 3090, 4289, 24576, 53, 262.29
2026/08/01 16:22:29.698, NVIDIA GeForce RTX 3090, 4289, 24576, 37, 257.76
2026/08/01 16:22:30.752, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 259.40
2026/08/01 16:22:31.795, NVIDIA GeForce RTX 3090, 4289, 24576, 43, 261.37
2026/08/01 16:22:32.887, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 256.65
2026/08/01 16:22:33.959, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 261.21
2026/08/01 16:22:35.038, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 257.30
2026/08/01 16:22:36.125, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 262.04
2026/08/01 16:22:37.198, NVIDIA GeForce RTX 3090, 4289, 24576, 53, 257.81
2026/08/01 16:22:38.243, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 259.29
2026/08/01 16:22:39.286, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 265.04
2026/08/01 16:22:40.331, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 264.39
2026/08/01 16:22:41.379, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 264.17
2026/08/01 16:22:42.423, NVIDIA GeForce RTX 3090, 4289, 24576, 42, 259.24
2026/08/01 16:22:43.506, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 258.63
2026/08/01 16:22:44.570, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 262.34
2026/08/01 16:22:45.654, NVIDIA GeForce RTX 3090, 4289, 24576, 44, 260.22
2026/08/01 16:22:46.743, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 265.03
2026/08/01 16:22:47.811, NVIDIA GeForce RTX 3090, 4289, 24576, 54, 253.55
2026/08/01 16:22:48.860, NVIDIA GeForce RTX 3090, 4289, 24576, 46, 261.18
2026/08/01 16:22:49.926, NVIDIA GeForce RTX 3090, 4289, 24576, 48, 258.87
2026/08/01 16:22:51.010, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 258.53
2026/08/01 16:22:52.055, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 265.49
2026/08/01 16:22:53.099, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 266.77
2026/08/01 16:22:54.167, NVIDIA GeForce RTX 3090, 4289, 24576, 42, 258.49
